asset_id,logical_name,scientific_stage,asset_type,absolute_path,relative_repo_path,exists,size_bytes,file_count,sha256,formal_or_development,used_by,canonical_source,duplicate_group,proposed_upload_class,reason,notes,shared_asset,development_benchmark,untouched_final_confirmation
asset_0012,data/tasks/q_1p6007-2p9993_n400_t1800/failed_samples.json,shared,dataset_provenance,/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6007-2p9993_n400_t1800/failed_samples.json,data/tasks/q_1p6007-2p9993_n400_t1800/failed_samples.json,True,2,1,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,formal_source,"[""A0"", ""R0"", ""M2"", ""M3"", ""M4a"", ""M4b"", ""R1"", ""R2"", ""R3""]",/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6-3_n2000_t1200/failed_samples.json,duplicate_001,DO_NOT_UPLOAD,Byte-identical file verified by size and SHA256; reference the canonical file once. Preserve all server copies.,[],False,False,False
asset_0013,data/tasks/q_1p6007-2p9993_n400_t1800/meta.json,shared,dataset_provenance,/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6007-2p9993_n400_t1800/meta.json,data/tasks/q_1p6007-2p9993_n400_t1800/meta.json,True,2289,1,498596316137e358d99c314a13e2f9f2c15baf52343c810431d9800ea3a108b6,formal_source,"[""A0"", ""R0"", ""M2"", ""M3"", ""M4a"", ""M4b"", ""R1"", ""R2"", ""R3""]",/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6007-2p9993_n400_t1800/meta.json,,MUST_UPLOAD,Authoritative raw truth or original training/validation split needed for independent analysis and provenance.,[],False,False,False
asset_0014,data/tasks/q_1p6007-2p9993_n400_t2400/dataset.npz,shared,dataset_payload,/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6007-2p9993_n400_t2400/dataset.npz,data/tasks/q_1p6007-2p9993_n400_t2400/dataset.npz,True,22288645,1,4687fe18e8701818ef8ffc5d87d5ac618c224ba7d8f80f7b57eccb2cf0e5b1d2,formal_source,"[""A0"", ""R0"", ""M2"", ""M3"", ""M4a"", ""M4b"", ""R1"", ""R2"", ""R3""]",/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6007-2p9993_n400_t2400/dataset.npz,,MUST_UPLOAD,Authoritative raw truth or original training/validation split needed for independent analysis and provenance.,[],False,False,False
asset_0015,data/tasks/q_1p6007-2p9993_n400_t2400/failed_samples.json,shared,dataset_provenance,/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6007-2p9993_n400_t2400/failed_samples.json,data/tasks/q_1p6007-2p9993_n400_t2400/failed_samples.json,True,2,1,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,formal_source,"[""A0"", ""R0"", ""M2"", ""M3"", ""M4a"", ""M4b"", ""R1"", ""R2"", ""R3""]",/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6-3_n2000_t1200/failed_samples.json,duplicate_001,DO_NOT_UPLOAD,Byte-identical file verified by size and SHA256; reference the canonical file once. Preserve all server copies.,[],False,False,False
asset_0016,data/tasks/q_1p6007-2p9993_n400_t2400/meta.json,shared,dataset_provenance,/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6007-2p9993_n400_t2400/meta.json,data/tasks/q_1p6007-2p9993_n400_t2400/meta.json,True,2290,1,dfed20a87f299462b39e6cccd203a87ce85788fce02293434b8a73ab3ccc5cc1,formal_source,"[""A0"", ""R0"", ""M2"", ""M3"", ""M4a"", ""M4b"", ""R1"", ""R2"", ""R3""]",/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6007-2p9993_n400_t2400/meta.json,,MUST_UPLOAD,Authoritative raw truth or original training/validation split needed for independent analysis and provenance.,[],False,False,False
asset_0017,outputs/comparison/common_test__q_1p6007-2p9993_n400_t1200/common_test_dataset.npz,R0,derived_truth,/home/shanjinshuo/fno_kerr/kerr_project/outputs/comparison/common_test__q_1p6007-2p9993_n400_t1200/common_test_dataset.npz,outputs/comparison/common_test__q_1p6007-2p9993_n400_t1200/common_test_dataset.npz,True,5324833,1,22a91e3bd3faf38d7dda396e149c4c1d248d7c398a3c4e58675527a05b48578a,historical_auxiliary,"[""R0""]",/home/shanjinshuo/fno_kerr/kerr_project/outputs/comparison/common_test__q_1p6007-2p9993_n400_t1200/common_test_dataset.npz,duplicate_002,DO_NOT_UPLOAD,Older common-test snapshot/result; final Plan A A1 and authoritative raw datasets are preferred.,[],False,False,False
asset_0018,outputs/comparison/common_test__q_1p6007-2p9993_n400_t1200/common_test_summary.json,R0,historical_metrics,/home/shanjinshuo/fno_kerr/kerr_project/outputs/comparison/common_test__q_1p6007-2p9993_n400_t1200/common_test_summary.json,outputs/comparison/common_test__q_1p6007-2p9993_n400_t1200/common_test_summary.json,True,3276,1,dfc622d36d8a5d3bd2761ee9e4809ed1c6b769053c2e7e7214321f2058f12b86,historical_auxiliary,"[""R0""]",/home/shanjinshuo/fno_kerr/kerr_project/outputs/comparison/common_test__q_1p6007-2p9993_n400_t1200/common_test_summary.json,,DO_NOT_UPLOAD,Older common-test snapshot/result; final Plan A A1 and authoritative raw datasets are preferred.,[],False,False,False
asset_0019,outputs/comparison/common_test__q_1p6007-2p9993_n400_t1200/models/q_1p6-3_n2000_t1200/per_q_metrics.csv,R0,historical_metrics,/home/shanjinshuo/fno_kerr/kerr_project/outputs/comparison/common_test__q_1p6007-2p9993_n400_t1200/models/q_1p6-3_n2000_t1200/per_q_metrics.csv,outputs/comparison/common_test__q_1p6007-2p9993_n400_t1200/models/q_1p6-3_n2000_t1200/per_q_metrics.csv,True,26399,1,ee49a17df0cc20210c6bdb3d2eae52f8db246335b163522d85487be89bdaa4d4,historical_auxiliary,"[""R0""]",/home/shanjinshuo/fno_kerr/kerr_project/outputs/comparison/common_test__q_1p6007-2p9993_n400_t1200/models/q_1p6-3_n2000_t1200/per_q_metrics.csv,,DO_NOT_UPLOAD,Older common-test snapshot/result; final Plan A A1 and authoritative raw datasets are preferred.,[],False,False,False
asset_0020,outputs/comparison/common_test__q_1p6007-2p9993_n400_t1200/models/q_1p6-3_n2000_t1200/result.json,R0,historical_metrics,/home/shanjinshuo/fno_kerr/kerr_project/outputs/comparison/common_test__q_1p6007-2p9993_n400_t1200/models/q_1p6-3_n2000_t1200/result.json,outputs/comparison/common_test__q_1p6007-2p9993_n400_t1200/models/q_1p6-3_n2000_t1200/result.json,True,1796,1,1c1634e5c073969e42b7715382230068bacb9359ba40c0d7a01600c6b17acb41,historical_auxiliary,"[""R0""]",/home/shanjinshuo/fno_kerr/kerr_project/outputs/comparison/common_test__q_1p6007-2p9993_n400_t1200/models/q_1p6-3_n2000_t1200/result.json,,DO_NOT_UPLOAD,Older common-test snapshot/result; final Plan A A1 and authoritative raw datasets are preferred.,[],False,False,False
asset_0021,outputs/comparison/common_test_e500_w64_n2000_n5000/common_test_dataset.npz,R0,derived_truth,/home/shanjinshuo/fno_kerr/kerr_project/outputs/comparison/common_test_e500_w64_n2000_n5000/common_test_dataset.npz,outputs/comparison/common_test_e500_w64_n2000_n5000/common_test_dataset.npz,True,5324833,1,22a91e3bd3faf38d7dda396e149c4c1d248d7c398a3c4e58675527a05b48578a,historical_auxiliary,"[""R0""]",/home/shanjinshuo/fno_kerr/kerr_project/outputs/comparison/common_test__q_1p6007-2p9993_n400_t1200/common_test_dataset.npz,duplicate_002,DO_NOT_UPLOAD,Byte-identical file verified by size and SHA256; reference the canonical file once. Preserve all server copies.,[],False,False,False
asset_0022,outputs/comparison/common_test_e500_w64_n2000_n5000/common_test_summary.json,R0,historical_metrics,/home/shanjinshuo/fno_kerr/kerr_project/outputs/comparison/common_test_e500_w64_n2000_n5000/common_test_summary.json,outputs/comparison/common_test_e500_w64_n2000_n5000/common_test_summary.json,True,3269,1,ae8a390111ee304e88dec8b2a6842a2001063d333be5d28255098da3dd4f2eff,historical_auxiliary,"[""R0""]",/home/shanjinshuo/fno_kerr/kerr_project/outputs/comparison/common_test_e500_w64_n2000_n5000/common_test_summary.json,,DO_NOT_UPLOAD,Older common-test snapshot/result; final Plan A A1 and authoritative raw datasets are preferred.,[],False,False,False
asset_0023,outputs/comparison/common_test_e500_w64_n2000_n5000/models/q_1p6-3_n2000_t1200/per_q_metrics.csv,R0,historical_metrics,/home/shanjinshuo/fno_kerr/kerr_project/outputs/comparison/common_test_e500_w64_n2000_n5000/models/q_1p6-3_n2000_t1200/per_q_metrics.csv,outputs/comparison/common_test_e500_w64_n2000_n5000/models/q_1p6-3_n2000_t1200/per_q_metrics.csv,True,26530,1,f2f9f6ede08add4d04155f7c496a534336053a40bb90df54836375874a52bc94,historical_auxiliary,"[""R0""]",/home/shanjinshuo/fno_kerr/kerr_project/outputs/comparison/common_test_e500_w64_n2000_n5000/models/q_1p6-3_n2000_t1200/per_q_metrics.csv,,DO_NOT_UPLOAD,Older common-test snapshot/result; final Plan A A1 and authoritative raw datasets are preferred.,[],False,False,False
asset_0024,outputs/comparison/common_test_e500_w64_n2000_n5000/models/q_1p6-3_n2000_t1200/result.json,R0,historical_metrics,/home/shanjinshuo/fno_kerr/kerr_project/outputs/comparison/common_test_e500_w64_n2000_n5000/models/q_1p6-3_n2000_t1200/result.json,outputs/comparison/common_test_e500_w64_n2000_n5000/models/q_1p6-3_n2000_t1200/result.json,True,1790,1,b27fb532f1f299494fef3c99c256285a889af1cf3f070c34489d2ab6c57f5b60,historical_auxiliary,"[""R0""]",/home/shanjinshuo/fno_kerr/kerr_project/outputs/comparison/common_test_e500_w64_n2000_n5000/models/q_1p6-3_n2000_t1200/result.json,,DO_NOT_UPLOAD,Older common-test snapshot/result; final Plan A A1 and authoritative raw datasets are preferred.,[],False,False,False
asset_0025,outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/Q.npy,R0,prediction_provenance,/home/shanjinshuo/fno_kerr/kerr_project/outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/Q.npy,outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/Q.npy,True,3328,1,3f14682a31d7763b0a09061db10231f60002b75f7415a4908cab8912c95bef65,historical_valid_length_evaluation,"[""R0_historical_T1800""]",/home/shanjinshuo/fno_kerr/kerr_project/outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/Q.npy,,MUST_UPLOAD,Existing reusable historical R0 T1800 prediction with explicit Q/grid/checkpoint provenance.,[],False,False,False
asset_0026,outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/lambda_error_profile.csv,R0,historical_metrics,/home/shanjinshuo/fno_kerr/kerr_project/outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/lambda_error_profile.csv,outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/lambda_error_profile.csv,True,171020,1,e8a130ecd157a35e3124bf0c7854286e2ba456a11e665f5de89c9ef255ac6f2d,historical_valid_length_evaluation,"[""R0_historical_T1800""]",/home/shanjinshuo/fno_kerr/kerr_project/outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/lambda_error_profile.csv,,DO_NOT_UPLOAD,Historical metric table is superseded for comparison by final raw-float64 formal A1 metrics; preserve on server.,[],False,False,False
asset_0027,outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/lambda_grid.npy,R0,prediction_provenance,/home/shanjinshuo/fno_kerr/kerr_project/outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/lambda_grid.npy,outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/lambda_grid.npy,True,14528,1,b7c8a2ae3bc8a25f9fc2ad815af441b82b7cef44a218d07635ce7ce522cbcb1e,historical_valid_length_evaluation,"[""R0_historical_T1800""]",/home/shanjinshuo/fno_kerr/kerr_project/outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/lambda_grid.npy,,MUST_UPLOAD,Existing reusable historical R0 T1800 prediction with explicit Q/grid/checkpoint provenance.,[],False,False,False
asset_0028,outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/metrics.json,R0,prediction_provenance,/home/shanjinshuo/fno_kerr/kerr_project/outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/metrics.json,outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/metrics.json,True,5753,1,b061c731595f83405b29f6b3ce32b4b540f12552b26c0fac34437f7cf4acd475,historical_valid_length_evaluation,"[""R0_historical_T1800""]",/home/shanjinshuo/fno_kerr/kerr_project/outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/metrics.json,,MUST_UPLOAD,Existing reusable historical R0 T1800 prediction with explicit Q/grid/checkpoint provenance.,[],False,False,False
asset_0029,outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/per_q_metrics.csv,R0,historical_metrics,/home/shanjinshuo/fno_kerr/kerr_project/outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/per_q_metrics.csv,outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/per_q_metrics.csv,True,60829,1,da4d345d0b697a6efc7eeedcb620aa181e7700a59a0a11a8dae3bac31de24fce,historical_valid_length_evaluation,"[""R0_historical_T1800""]",/home/shanjinshuo/fno_kerr/kerr_project/outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/per_q_metrics.csv,,DO_NOT_UPLOAD,Historical metric table is superseded for comparison by final raw-float64 formal A1 metrics; preserve on server.,[],False,False,False
asset_0030,outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/predictions_raw.npy,R0,prediction,/home/shanjinshuo/fno_kerr/kerr_project/outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/predictions_raw.npy,outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/predictions_raw.npy,True,8640128,1,b58c530651269b5f18e3cf30c16799727b35b87b32be9eb08984da4a861f9114,historical_valid_length_evaluation,"[""R0_historical_T1800""]",/home/shanjinshuo/fno_kerr/kerr_project/outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/predictions_raw.npy,,MUST_UPLOAD,Existing reusable historical R0 T1800 prediction with explicit Q/grid/checkpoint provenance.,[],False,False,False
asset_0031,outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/source_q_indices.npy,R0,prediction_provenance,/home/shanjinshuo/fno_kerr/kerr_project/outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/source_q_indices.npy,outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/source_q_indices.npy,True,3328,1,db69baadd6ddfc236ba8e9396c5d7636916d74ab2cbc59725d81e88075c036f6,historical_valid_length_evaluation,"[""R0_historical_T1800""]",/home/shanjinshuo/fno_kerr/kerr_project/outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/source_q_indices.npy,,MUST_UPLOAD,Existing reusable historical R0 T1800 prediction with explicit Q/grid/checkpoint provenance.,[],False,False,False
asset_0032,outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/targets_raw.npy,R0,derived_truth,/home/shanjinshuo/fno_kerr/kerr_project/outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/targets_raw.npy,outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/targets_raw.npy,True,8640128,1,a0786246bae181a6fc91a610eb2069533ebfd1d4c1999dc342ece21783766c50,historical_valid_length_evaluation,"[""R0_historical_T1800""]",/home/shanjinshuo/fno_kerr/kerr_project/outputs/extrapolation_2d/q_1p6-3_n2000_t1200/fno2d_m16x32_w64_d4_e500/t1800_full_q400/targets_raw.npy,,DO_NOT_UPLOAD,Float32 recovered-target representation is not authoritative raw float64 truth; use the registered T1800 dataset.,[],False,False,False
asset_0033,outputs/formal_a1_length_extrapolation/fno2d_m16x32_w64_d4_e500_r1_multilen_t600-800-1000-1200_q400_t1200_t1800_t2400/a1_length_extrapolation_summary.json,R1,metrics_summary,/home/shanjinshuo/fno_kerr/kerr_project/outputs/formal_a1_length_extrapolation/fno2d_m16x32_w64_d4_e500_r1_multilen_t600-800-1000-1200_q400_t1200_t1800_t2400/a1_length_extrapolation_summary.json,outputs/formal_a1_length_extrapolation/fno2d_m16x32_w64_d4_e500_r1_multilen_t600-800-1000-1200_q400_t1200_t1800_t2400/a1_length_extrapolation_summary.json,True,301041,1,3af43eaf2ffb394770e4d5b4d7162e9b0af3ff41047240034e69c721e6304002,formal_development_benchmark,"[""R1""]",/home/shanjinshuo/fno_kerr/kerr_project/outputs/formal_a1_length_extrapolation/fno2d_m16x32_w64_d4_e500_r1_multilen_t600-800-1000-1200_q400_t1200_t1800_t2400/a1_length_extrapolation_summary.json,,MUST_UPLOAD,Final canonical-Q400 raw-xyz A1 result used in the R0-R3 scientific comparison.,[],False,True,False
asset_0034,outputs/formal_a1_length_extrapolation/fno2d_m16x32_w64_d4_e500_r1_multilen_t600-800-1000-1200_q400_t1200_t1800_t2400/lambda_window_metrics.csv,R1,metrics_csv,/home/shanjinshuo/fno_kerr/kerr_project/outputs/formal_a1_length_extrapolation/fno2d_m16x32_w64_d4_e500_r1_multilen_t600-800-1000-1200_q400_t1200_t1800_t2400/lambda_window_metrics.csv,outputs/formal_a1_length_extrapolation/fno2d_m16x32_w64_d4_e500_r1_multilen_t600-800-1000-1200_q400_t1200_t1800_t2400/lambda_window_metrics.csv,True,2289,1,a079ec4372524711ab923af05febdf3cf19e41f6d54813449daf3fd0dc955e72,formal_development_benchmark,"[""R1""]",/home/shanjinshuo/fno_kerr/kerr_project/outputs/formal_a1_length_extrapolation/fno2d_m16x32_w64_d4_e500_r1_multilen_t600-800-1000-1200_q400_t1200_t1800_t2400/lambda_window_metrics.csv,,MUST_UPLOAD,Final canonical-Q400 raw-xyz A1 result used in the R0-R3 scientific comparison.,[],False,True,False
